date,source,campaign,impressions,clicks,cost,leads,orders,revenue
2026-06-24,Yandex Direct,Brand Search,42000,3360,28500,138,29,522000
2026-06-24,Yandex Direct,Non Brand Search,86000,3440,61800,104,17,306000
2026-06-24,Yandex Direct,Competitors Search,31000,775,18300,29,4,72000
2026-06-24,VK Ads,Lookalike Leads,118000,1888,42800,72,7,126000
2026-06-24,VK Ads,Retargeting,54000,1620,24900,68,12,216000
2026-06-24,Telegram Ads,Channel Promo,76000,1216,30400,41,5,90000
2026-06-24,Telegram Ads,Lead Magnet,63000,1008,18600,52,4,72000
2026-06-24,MyTarget,Interest Campaign,98000,1470,27600,47,3,54000
2026-06-25,Yandex Direct,Brand Search,45000,3690,31200,151,31,558000
2026-06-25,Yandex Direct,Non Brand Search,91000,3458,71100,96,15,270000
2026-06-25,Yandex Direct,Competitors Search,34000,714,21600,23,2,36000
2026-06-25,VK Ads,Lookalike Leads,142000,1988,59600,58,3,54000
2026-06-25,VK Ads,Retargeting,61000,1830,28200,74,13,234000
2026-06-25,Telegram Ads,Channel Promo,81000,1215,35100,36,4,72000
2026-06-25,Telegram Ads,Lead Magnet,67000,1072,20100,49,3,54000
2026-06-25,MyTarget,Interest Campaign,104000,1352,32600,34,1,18000
