request_id,client,source,manager,status,priority,amount,next_action_due_at,close_due_at,days_without_update,risk_score,problem
1009,ООО Север,Партнеры,Иван Петров,Просрочена,Высокий,410000,2026-06-20 12:00:00,2026-06-23 18:00:00,7,9,просрочено следующее действие; просрочен дедлайн закрытия; статус давно не менялся; высокий приоритет
1004,ООО Альфа,Контекст,Иван Петров,Согласование,Высокий,270000,2026-06-22 15:00:00,2026-06-24 18:00:00,6,9,просрочено следующее действие; просрочен дедлайн закрытия; статус давно не менялся; высокий приоритет
1001,ООО Вектор,Сайт,Иван Петров,В работе,Высокий,185000,2026-06-21 12:00:00,2026-06-24 18:00:00,4,9,просрочено следующее действие; просрочен дедлайн закрытия; статус давно не менялся; высокий приоритет
1012,ООО Омега,Сайт,Анна Кузнецова,Согласование,Средний,158000,2026-06-23 11:00:00,2026-06-25 18:00:00,5,8,просрочено следующее действие; просрочен дедлайн закрытия; статус давно не менялся
1007,ЗАО Сигма,Email,Мария Орлова,В работе,Высокий,145000,2026-06-25 09:00:00,2026-06-25 18:00:00,4,8,просрочено следующее действие; просрочен дедлайн закрытия; статус давно не менялся; высокий приоритет
1016,ООО Комфорт,Сайт,Не назначен,В работе,Высокий,236000,2026-06-24 10:00:00,2026-06-26 18:00:00,3,7,просрочено следующее действие; нет ответственного; высокий приоритет
1003,ООО Ритейл+,Сайт,Анна Кузнецова,В работе,Высокий,320000,2026-06-25 12:30:00,2026-06-28 18:00:00,0,5,просрочено следующее действие; высокий приоритет
1013,ООО Восток,Сайт,Иван Петров,В работе,Высокий,210000,2026-06-25 11:00:00,2026-06-26 18:00:00,1,5,просрочено следующее действие; высокий приоритет
1008,ООО Дельта,Сайт,Не назначен,Новая,Средний,76000,2026-06-25 14:00:00,2026-06-28 18:00:00,0,5,просрочено следующее действие; нет ответственного
1002,ИП Смирнов,Telegram,Не назначен,Новая,Средний,42000,2026-06-25 10:00:00,2026-06-27 18:00:00,1,5,просрочено следующее действие; нет ответственного
1006,ООО Бета,Сайт,Анна Кузнецова,Ожидает клиента,Средний,93000,2026-06-24 17:00:00,2026-06-26 18:00:00,2,3,просрочено следующее действие
1015,ООО Юг,VK Ads,Иван Петров,В работе,Средний,84000,2026-06-25 13:00:00,2026-06-28 18:00:00,0,3,просрочено следующее действие
1010,ИП Волков,Контекст,Анна Кузнецова,В работе,Средний,67000,2026-06-25 15:30:00,2026-06-27 18:00:00,1,3,просрочено следующее действие
1019,ИП Карпов,Telegram,Мария Орлова,Ожидает клиента,Средний,54000,2026-06-25 09:30:00,2026-06-26 18:00:00,2,3,просрочено следующее действие
1005,ООО Лига,VK Ads,Мария Орлова,Новая,Низкий,38000,2026-06-25 16:00:00,2026-06-30 18:00:00,0,3,просрочено следующее действие
1011,ООО Гамма,Telegram,Мария Орлова,Новая,Низкий,25000,2026-06-25 17:00:00,2026-06-29 18:00:00,0,3,просрочено следующее действие
