marketplace,sku,product_name,category,warehouse,stock,reserved,available_stock,price,commission_rate,commission_amount,net_price,cost_price,gross_margin_per_unit,gross_margin_rate,orders_3d,revenue_3d,daily_sales_avg,days_of_stock,status,alert
Ozon,SKU-1001,Кофеварка Compact,Техника,Хоругвино,42,6,36,6990,0.16,1118.4,5871.6,4200,1671.6,0.2391,7,48930.0,2.33,15.5,active,ok
Ozon,SKU-1002,Набор посуды 12 предметов,Дом,Хоругвино,18,4,14,5490,0.15,823.5,4666.5,3100,1566.5,0.2853,5,27450.0,1.67,8.4,active,ok
Ozon,SKU-1003,Рюкзак городской,Аксессуары,Пушкино,9,2,7,3290,0.18,592.1999999999999,2697.8,1700,997.8,0.3033,3,9870.0,1.0,7.0,active,ok
Ozon,SKU-1004,Лампа настольная,Дом,Пушкино,65,7,58,1890,0.14,264.6,1625.4,950,675.4,0.3574,8,15120.0,2.67,21.7,active,ok
Wildberries,SKU-1001,Кофеварка Compact,Техника,Коледино,27,5,22,7190,0.17,1222.3000000000002,5967.7,4200,1767.7,0.2459,5,35950.0,1.67,13.2,active,ok
Wildberries,SKU-1002,Набор посуды 12 предметов,Дом,Электросталь,12,3,9,5590,0.16,894.4,4695.6,3100,1595.6,0.2854,0,0.0,0.0,999.0,active,ok
Wildberries,SKU-1004,Лампа настольная,Дом,Электросталь,31,4,27,1990,0.15,298.5,1691.5,950,741.5,0.3726,0,0.0,0.0,999.0,active,ok
Yandex Market,SKU-1001,Кофеварка Compact,Техника,Софьино,15,3,12,7090,0.14,992.6000000000001,6097.4,4200,1897.4,0.2676,3,21270.0,1.0,12.0,active,ok
Yandex Market,SKU-1002,Набор посуды 12 предметов,Дом,Софьино,20,2,18,5390,0.13,700.7,4689.3,3100,1589.3,0.2949,4,21560.0,1.33,13.5,active,ok
Yandex Market,SKU-1003,Рюкзак городской,Аксессуары,Томилино,11,2,9,3490,0.17,593.3000000000001,2896.7,1700,1196.7,0.3429,0,0.0,0.0,999.0,active,ok
Yandex Market,SKU-1004,Лампа настольная,Дом,Томилино,14,1,13,2090,0.13,271.7,1818.3,950,868.3,0.4155,6,12540.0,2.0,6.5,active,ok
Yandex Market,SKU-1005,Фитнес-браслет,Электроника,Софьино,0,0,0,4590,0.18,826.1999999999999,3763.8,2200,1563.8,0.3407,0,0.0,0.0,999.0,out_of_stock,out_of_stock
Ozon,SKU-1005,Фитнес-браслет,Электроника,Хоругвино,6,1,5,4490,0.19,853.1,3636.9,2200,1436.9,0.32,0,0.0,0.0,999.0,active,reorder
Wildberries,SKU-1003,Рюкзак городской,Аксессуары,Коледино,4,1,3,3390,0.2,678.0,2712.0,1700,1012.0,0.2985,4,13560.0,1.33,2.3,low_stock,reorder
Wildberries,SKU-1005,Фитнес-браслет,Электроника,Коледино,2,0,2,4690,0.21,984.9,3705.1,2200,1505.1,0.3209,2,9380.0,0.67,3.0,low_stock,reorder
